Parkirišče,Dnevni prosta,Dnevni na voljo,Abonenti na voljo,Abonenti oddana,Abonenti prosta
Bežigrad,8,64,0,0,0
Dolenjska cesta (Strelišče),58,67,25,25,0
Gosarjeva ulica,0,190,138,138,0
Gospodarsko razstavišče,0,400,150,150,0
Komanova ulica,/,55,55,55,0
PH Kongresni trg,71,720,400,400,0
Kozolec,32,394,220,220,0
Kranjčeva ulica,10,117,65,65,0
Linhartova,4,50,50,50,0
Metelkova ulica,14,89,26,24,2
Mirje,1,107,55,55,0
P+R Barje,,,,,
P+R Dolgi Most,,,,,
P+R Studenec,,,,,
PH Kolezija,48,80,50,47,3
Pokopališče Polje,33,39,20,8,12
Povšetova ulica,1,81,50,48,2
Sanatorij Emona,0,25,0,0,0
Slovenčeva ulica,0,128,118,118,0
Tivoli I.,42,351,63,61,2
Tivoli II.,53,159,40,40,0
Trg mladinskih delovnih brigad,3,26,0,0,0
Trg prekomorskih brigad,0,61,10,10,0
Štembalova ulica,/,155,153,153,0
Žale I.,4,125,0,0,0
Žale II.,8,80,0,0,0
Žale III.,7,83,65,65,0
Žale IV.,12,78,75,70,5
Žale V.,193,100,75,73,2
P+R Ježica,,,,,
P+R Stanežiče,,,,,
ŠRC Stožice,/,509,255,255,0
Tacen,/,/,/,/,/
Bratislavska,/,/,/,/,/
BS4,27,100,100,54,46
PH Rog,4,80,35,35,0
P+R Letališka,,,,,
Parkirišče PH Ilirija,,,,,
